PROJECT INFO,,,,,,,,
File Path,C:\Users\34644\BIMMING\Video Support\Snowdon Towers Sample Architectural.rvt,,,,,,,
File Name,Snowdon Towers Sample Architectural,,,,,,,
Central File Path,This document is not workshared.,,,,,,,
Export by,maximo_cubero,,,,,,,
Export Date,02/02/2025,,,,,,,
Export Time,23:08:00,,,,,,,
DATA,,,,,,,,
Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
756364,Walls - R2 - Base,TRUE,TRUE,FloorPlan,L4 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756404,Walls - Parking - Base,TRUE,TRUE,FloorPlan,L4 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
755977,Walls - L1 - Base - Block 35,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
755978,Walls - L1 - Base - Block 37,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
755979,Walls - L1 - Base - Block 43,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756360,Walls - L2 - Base,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756361,Walls - L3 - Base,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756362,Walls - L4 - Base,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756363,Walls - L5 - Base,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756364,Walls - R2 - Base,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756368,Walls - Parapet 1 - Top,TRUE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756370,Walls - Parapet 2 - Top,TRUE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
756404,Walls - Parking - Base,FALSE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
1212157,Walls - Unconnected - Top,TRUE,TRUE,FloorPlan,R2 Wall Base,FALSE,Not View Template Assigned,Not in a sheet
755980,Walls - L2 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756356,Walls - L3 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756357,Walls - L4 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756358,Walls - L5 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756359,Walls - R2 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756365,Walls - L1 - Top - Block 43,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756366,Walls - L1 - Top - Block 37,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756367,Walls - L1 - Top - Block 35,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756368,Walls - Parapet 1 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756369,Walls - R3 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756370,Walls - Parapet 2 - Top,TRUE,TRUE,FloorPlan,L5 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
755980,Walls - L2 - Top,TRUE,TRUE,FloorPlan,L3 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
756356,Walls - L3 - Top,TRUE,TRUE,FloorPlan,L3 Wall Top,FALSE,Not View Template Assigned,Not in a sheet
